id	whg_pid	title	ccodes	lon	lat	added	matches
amh_625p	6600127	Suvali	IN	72.634048	21.162002	[]	
amh_400p	6600128	Swellendam	ZA	20.436945	-34.024352	[]	wd:Q1632782
amh_854p	6600129	Syriam	MM	96.244683	16.764604	[]	wd:Q2734515
amh_931p	6600130	São Tomé	ST	6.604042	0.249938	[]	
amh_1186p	6600131	Tacome	ID	127.312135	0.844576	[]	
amh_665p	6600132	Tahuna	ID	125.573459	3.577243	[]	
amh_915p	6600133	Takoradi	GH	-1.755459	4.886501	[]	wd:Q243293
amh_664p	6600134	Taliabu	ID			[]	
amh_1146p	6600135	Tamandarè	BR	-35.103661	-8.757234	[]	
amh_663p	6600136	Tamma Callang	ID			[]	
amh_825p	6600137	Tampakamam	LK			[]	
amh_734p	6600138	Tan-shui	TW	121.440282	25.169912	[]	
amh_906p	6600139	Tanete	ID	120.327044	-4.541517	[]	
amh_1764p	6600140	Tangail	IN	89.914681	24.249175	[]	wd:Q13058928
amh_398p	6600141	Tangalla	LK	80.79055556	6.026388889	[]	wd:Q598658
amh_1652p	6600142	Tanimbar	ID	131.445068	-7.565349	[]	
amh_484p	6600143	Tanjong Poura	ID	107.289255	-6.264878	[]	wd:Q25165157
amh_412p	6600144	Tanjung Timur	ID	106.860316	-6.303526	[]	wd:Q19646133
amh_870p	6600145	Tanjung West	ID			[]	
amh_611p	6600146	Tanjungpinang	ID	104.447508	0.917148	[]	wd:Q10104
amh_1020p	6600147	Tapajos rivier	BR			[]	
amh_636p	6600148	Tappenoulie	ID			[]	
amh_1116p	6600149	Tarrytown	US	-73.859761	41.077793	[]	
amh_892p	6600150	Tarusan	ID			[]	
amh_933p	6600151	Tasso Island	SL	-13.0761337	8.5562384	[]	
amh_667p	6600152	Tatta	PK	67.924147	24.744493	[]	wd:Q27212
amh_9844p	6600153	Tawariekoera 	SR	-55.870523	5.502219	[]	
amh_342p	6600154	Tegal	ID	109.133112	-6.866013	[]	wd:Q11027
amh_826p	6600155	Tellippalai	LK			[]	
amh_9180p	6600156	Tempati 	SR	-54.666672	5.3833306	[]	wd:Q34963468
amh_767p	6600157	Tengapatnam, Malabaar	IN	77.171781	8.238291	[]	
amh_1011p	6600158	Tent Bay	BQ;AW;CW;SX	-63.252565	17.617008	[]	
amh_662p	6600159	Terlucco	ID			[]	
amh_651p	6600160	Ternate	ID	127.3833333	0.8	[]	
amh_1766p	6600161	Tessindia	IN			[]	
amh_463p	6600162	Teun	ID	129.14011	-6.972776	[]	wd:Q15060339
amh_788p	6600163	Thiruppapuliyur	IN			[]	
amh_418p	6600164	Tidore	ID	127.4166667	0.666666667	[]	wd:Q19153
amh_896p	6600165	Tifore	ID			[]	
amh_632p	6600166	Tiku	ID			[]	
amh_902p	6600167	Tiruchchirappalli	IN	78.69401	10.8328	[]	wd:Q15201
amh_789p	6600168	Tirumullaivasal	IN			[]	
amh_853p	6600169	Titaway	ID	128.762804	-3.67906	[]	
amh_10573p	6600170	Tiworo	ID	122.431684	-4.797186	[]	
amh_485p	6600171	Tjeparra	ID			[]	
amh_1143p	6600172	Tobo	ID	130.206897	-3.55795	[]	
amh_1142p	6600173	Tocujos eiland	BR			[]	
amh_763p	6600174	Tokai	ZA			[]	
amh_660p	6600175	Tolitoli	ID	120.815313	1.039696	[]	
amh_729p	6600176	Tontotte	LK			[]	
amh_1086p	6600177	Torarica meer	SR	-55.01666667	5.316666667	[]	
amh_885p	6600178	Travancore	IN			[]	
amh_396p	6600179	Trincomalee	LK	81.23083333	8.570555556	[]	wd:Q323873
amh_9636p	6600180	Trindade en Martim Vaz	BR	-29.326754	-20.509701	[]	wd:Q241478
amh_9714p	6600181	Trinidad	TT	-61.233562	10.402507	[]	
amh_9638p	6600182	Tristan da Cunha eilanden	ZA	-12.291389	-37.106726	[]	
amh_395p	6600183	Tulbagh	ZA	19.142289	-33.285533	[]	wd:Q1937242
amh_996p	6600184	Tumble Down Dick Bay	BQ;AW;CW;SX	-63.000587	17.500827	[]	
amh_343p	6600185	Tuticorin	IN	78.14666667	8.81	[]	wd:Q41562
amh_827p	6600186	Udupiddi	LK			[]	
amh_828p	6600187	Uduvil	LK			[]	
amh_1113p	6600188	Uijtkijk	SR			[]	
amh_671p	6600189	Ulat	ID	128.71105	-3.600757	[]	
amh_1017p	6600190	Unare rivier	VE			[]	
amh_801p	6600191	Unawatuna	LK			[]	
amh_386p	6600192	Ungaran	ID	110.403813	-7.129741	[]	wd:Q25135332
amh_1751p	6600193	Untung Jawa	ID	106.708811	-5.978165	[]	
amh_829p	6600194	Vaddukoddai	LK			[]	
amh_771p	6600195	Vadodara	IN	73.188801	22.312284	[]	wd:Q11909
amh_980p	6600196	Vaersenbaai	BQ;AW;CW;SX	-69.00454	12.160895	[]	
amh_1057p	6600197	Valdívia	CL	-73.2447187	-39.81747	[]	wd:Q51038
amh_830p	6600198	Vannarponai	LK			[]	
amh_831p	6600199	Varani	LK			[]	
amh_1038p	6600200	Varzea	BR	-34.977171	-8.050094	[]	
amh_792p	6600201	Vembar	LK			[]	
amh_391p	6600202	Vengurla	IN	73.68333333	15.88333333	[]	wd:Q2445434
amh_1148p	6600203	Vergenoegd	ZA			[]	
amh_904p	6600204	Verlaatene S.E. Compagnies post	ID	106.100543	-5.983333333	[]	
amh_1112p	6600205	Victoria	SR	-54.99748	5.146127	[]	
amh_886p	6600206	Vierendepatnam	IN			[]	
amh_1030p	6600207	Vila Velha	BR	-34.858344	-7.808729	[]	
amh_779p	6600208	Vishakapatnam	IN	83.214512	17.692764	[]	wd:Q200016
amh_581p	6600209	Vishoek	ZA	18.429691	-34.136673	[]	wd:Q913974
amh_9907p	6600210	Visschers Kreek	SR	-54.269456	5.89363	[]	
amh_839p	6600211	Visserhoek	ZA			[]	
amh_9905p	6600212	Vlamingo Kreek	SR	-54.236074	5.886243	[]	
