id	title	title_source	title_uri	ccodes	matches	variants	types	aat_types	parent_name	lon	lat	geo_source	description
7968350	Khalboi	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7968350	PK	tgn:7968350	Khalboi	inhabited place	300008347	Khyber Pakhtunkhwa, Pākistān, Asia, World	70.713239	33.048503	Getty TGN Jun 2017	
7969741	Karkāni Ziārat	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7969741	PK	tgn:7969741	Karkāni Ziārat	inhabited place	300008347	Punjab, Pākistān, Asia, World	71.75952	33.055786	Getty TGN Jun 2017	
7969953	Shābi Koh	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7969953	PK	tgn:7969953	Shābi Koh	hill	300008777	Balochistān, Pākistān, Asia, World	62.048967	25.171116	Getty TGN Jun 2017	
7970652	Pasta Jara	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7970652	PK	tgn:7970652	Pasta Jara;Pasta Tarai	inhabited place	300008347	Federally Administered Tribal Areas, Pākistān, Asia, World	70.398666	32.659994	Getty TGN Jun 2017	
7970868	Gul Mādi	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7970868	PK	tgn:7970868	Gul Mādi;Mīr Khān	inhabited place	300008347	Khyber Pakhtunkhwa, Pākistān, Asia, World	70.492707	32.961633	Getty TGN Jun 2017	
7971017	Dhok Ināyat	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7971017	PK	tgn:7971017	Dhok Ināyat	inhabited place	300008347	Punjab, Pākistān, Asia, World	72.367778	33.353056	Getty TGN Jun 2017	
7971194	Shawangi Narai	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7971194	PK	tgn:7971194	Shawangi Narai	pass	300259572	Federally Administered Tribal Areas, Pākistān, Asia, World	70.098853	32.288746	Getty TGN Jun 2017	
7972154	Tangi Kandao	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7972154	PK	tgn:7972154	Tangi Kandao	pass	300259572	Khyber Pakhtunkhwa, Pākistān, Asia, World	72.009722	33.955833	Getty TGN Jun 2017	
7972247	Khuchia Wazar	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7972247	PK	tgn:7972247	Khuchia Wazar	mountain	300008795	Federally Administered Tribal Areas, Pākistān, Asia, World	70.43659	32.577609	Getty TGN Jun 2017	
7972388	Shna Aghbargai Chīna	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7972388	PK	tgn:7972388	Shna Aghbargai Chīna	spring	300008697	Balochistān, Pākistān, Asia, World	69.003611	31.561111	Getty TGN Jun 2017	
