id	lon	lat	country	campname
10257	73.1093826	49.8046835	Kasachstan	Kasachstan/ Karaganda/ - / Karaganda
10258	73.1093826	49.8046835	Kasachstan	Kasachstan/ Karaganda/ - / Karaganda-Sortirowotschja (Giiterbahnhof)
10259	73.1093826	49.8046835	Kasachstan	Kasachstan/ Karaganda/ Karsakpai/ Dsheskasgan
10260	73.1093826	49.8046835	Kasachstan	Kasachstan/ Karaganda/ Karsakpai/ Dsheskasgan
10261	73.1093826	49.8046835	Kasachstan	Kasachstan/ Karaganda/ Karsakpai/ Dsheskasgan
10262	73.1093826	49.8046835	Kasachstan	Kasachstan/ Karaganda/ Karsakpai/ Dsheskasgan
10263	73.1093826	49.8046835	Kasachstan	Kasachstan/ Karaganda/ -/ Kokusek
10264	73.1093826	49.8046835	Kasachstan	Kasachstan/ Karaganda/ - / Mai-Kuduk
10265	73.1093826	49.8046835	Kasachstan	Kasachstan/ Karaganda/ - / Nurinskaja
10266	72.8326827	49.797945	Kasachstan	Kasachstan/ Karaganda/ - / Saran
10267	72.8326827	49.797945	Kasachstan	Kasachstan/ Karaganda/ -/ Saran
10268	72.8326827	49.797945	Kasachstan	Kasachstan/ Karaganda/ - / Saran
10269	73.1093826	49.8046835	Kasachstan	Kasachstan/ Karaganda/ - / Spasski-Werkssiedlung
10270	73.1093826	49.8046835	Kasachstan	Kasachstan/ Karaganda/ - / Spasski-Werkssiedlung
10271	73.1093826	49.8046835	Kasachstan	Kasachstan/ Karaganda/ - / Spasski-Werkssiedlung
10272	73.1093826	49.8046835	Kasachstan	Kasachstan/ Karaganda/ -/ Spasski-Werkssiedlung
10273	73.1093826	49.8046835	Kasachstan	Kasachstan/ Karaganda/ - / Spasski-Werkssiedlung
10274	73.1093826	49.8046835	Kasachstan	Kasachstan/ Karaganda/ - / Spasski-Werkssiedlung
10275	73.1093826	49.8046835	Kasachstan	Kasachstan/ Karaganda/ - / Spasski-Werkssiedlung
10276	73.1093826	49.8046835	Kasachstan	Kasachstan/ Karaganda/ - / Spasski-Werkssiedlung
10277	73.1093826	49.8046835	Kasachstan	Kasachstan/ Karaganda/ - / Spasski-Werkssiedlung
10278	72.9660737	50.0509609	Kasachstan	Kasachstan/ Karaganda/ - / Temirtau
10279	63.6354232	53.2198089	Kasachstan	Kasachstan/ Kostai/ - / Dshetygara
10280	63.6354232	53.2198089	Kasachstan	Kasachstan/ Kostai/ - / Kuschmurun, Dshalombet (Dshalal-Abad, Massy)
10281	65.4822686	44.8488314	Kasachstan	Kasachstan/ - / - / Kysylorda
10282	82.7103185	48.4884873	Kasachstan	Kasachstan/ Ostkasachstan/ - / Irtyschgesstroi
10283	82.7103185	48.4884873	Kasachstan	Kasachstan/ Ostkasachstan/ Kirow/ Beloussowka
10284	83.519127	50.35601	Kasachstan	Kasachstan/ Ostkasachstan/ Leninogorsk/ Jerofejewka
10285	83.519127	50.35601	Kasachstan	Kasachstan/ Ostkasachstan/ - / Leninogorsk
10286	82.7103185	48.4884873	Kasachstan	Kasachstan/ Ostkasachstan/ - /
10287	83.519127	50.35601	Kasachstan	Kasachstan/ Ostkasachstan/ - / Leninogorsk
10288	83.5426356	50.3578105	Kasachstan	Kasachstan/ Ostkasachstan/ - / Leninogorsk (Ridder)
10289	83.5426356	50.3578105	Kasachstan	Kasachstan/ Ostkasachstan/ - / Leninogorsk (Ridder)
10290	83.5426356	50.3578105	Kasachstan	Kasachstan/ Ostkasachstan/ - / Leninogorsk (Ridder)
10291	84.2733064	49.7260952	Kasachstan	Kasachstan/ Ostkasachstan/ Syrjanowsk / Syrjanowskoje
10292	82.6017244	49.9749295	Kasachstan	Kasachstan/ Ostkasachstan/ - / Ust-Kamenogorsk
10293	82.6017244	49.9749295	Kasachstan	Kasachstan/ Ostkasachstan/ - / Ust-Kamenogorsk
10294	82.6017244	49.9749295	Kasachstan	Kasachstan/ Ostkasachstan/ - / Ust-Kamenogorsk, Saschtschita
10295	69.8824972	42.1811386	Kasachstan	Kasachstan/ SUdkasachstan/ Lenger/ -
10296	69.8824972	42.1811386	Kasachstan	Kasachstan/ SUdkasachstan/ Lenger/ Lenger 
10297			Kasachstan	Kasachstan/ SUdkasachstan/ Pachtaaral/-
10298			Kasachstan	Kasachstan/ SUdkasachstan/ Pachtaaral/-
10299			Kasachstan	Kasachstan/ SUdkasachstan/ Pachtaaral/-
10300			Kasachstan	Kasachstan/ SUdkasachstan/ Pachtaaral/-
10301			Kasachstan	Kasachstan/ SUdkasachstan/ Pachtaaral/-
10302			Kasachstan	Kasachstan/ SUdkasachstan/ Pachtaaral/-
10303			Kasachstan	Kasachstan/ Siidkasachstan/ - / Syrdarjinskaja
10304	69.5197655	42.3417991	Kasachstan	Kasachstan/ Siidkasachstan/ - / Tschimkent
10305	69.5197655	42.3417991	Kasachstan	Kasachstan/ Siidkasachstan/ - / Tschimkent
10306	68.8743637	43.5572696	Kasachstan	Kasachstan/ Siidkasachstan/ Turkestan/ Atschissaj
10307	68.8743637	43.5572696	Kasachstan	Kasachstan/ Siidkasachstan/ Turkestan/ Atschissaj
10308	68.5780182	43.5250888	Kasachstan	Kasachstan/ Siidkasachstan/ Turkestan/ Kantagi
10309	68.5780182	43.5250888	Kasachstan	Kasachstan/ Siidkasachstan/ Turkestan/ Kantagi
10310	68.2346884	43.3050854	Kasachstan	Kasachstan/ Siidkasachstan/ - / Turkestan
10311	74.766098	41.20438	Kirgisien	Kirgisien/ -/ -/ -
10312	73.0845735	41.0459544	Kirgisien	Kirgisien/ DshalaL-Abad/ -/ Kjok-Dshangak
10313	72.1796603	41.3390785	Kirgisien	Kirgisien/ DshalaL-Abad/ Tasch-Kumyr/ Tasch-Kumyr
10314	72.1796603	41.3390785	Kirgisien	Kirgisien/ DshalaL-Abad/ Tasch-Kumyr/ Tasch-Kumyr
10315	72.1796603	41.3390785	Kirgisien	Kirgisien/ DshalaL-Abad/ Tasch-Kumyr/ Tasch-Kumyr
10316	75.6735276	42.7826747	Kirgisien	Kirgisien/ Frunse/ Kemin/ DsheL-Aryk
10317	75.6735276	42.7826747	Kirgisien	Kirgisien/ Frunse/ Kemin/ Kis-Kyja (Kysyl-Kyja)
10318	75.6735276	42.7826747	Kirgisien	Kirgisien/ Frunse/ Kemin/ Bystrowka
10319	75.6735276	42.7826747	Kirgisien	Kirgisien/ Frunse/ Kemin/ Bystrowka
10320	75.6735276	42.7826747	Kirgisien	Kirgisien/ Frunse/ Kemin/ Bystrowka
10321	75.6735276	42.7826747	Kirgisien	Kirgisien/ Frunse/ Kemin/ Bystrowka
10322	74.4788491	42.8628339	Kirgisien	Kirgisien/ Frunse/ - / Maimak
10323	72.0973485	40.2562645	Kirgisien	Kirgisien/ Osch/ - / Kysyl-Kyja
10324	72.0973485	40.2562645	Kirgisien	Kirgisien/ Osch/ - / Kysyl-Kyja
10325	72.0973485	40.2562645	Kirgisien	Kirgisien/ Osch/ - / Kysyl-Kyja
